epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49306,2.0646,3.554,1.92968,0.00931,0.74192,0.10605,0.03958,2.30502,3.3211,1.97844,0.00044299,0.00044299,0.00044299
2,18.4906,1.93897,2.6634,1.77233,0.65496,0.18453,0.27685,0.12873,2.7,3.02955,3.00788,0.000891357,0.000891357,0.000891357
3,26.0062,1.95199,2.47902,1.84171,0.25322,0.30689,0.15244,0.04787,2.55588,3.02334,2.38,0.00133067,0.00133067,0.00133067
4,33.3169,1.93923,2.30336,1.77965,0.55856,0.20215,0.18484,0.06284,3.10247,3.96959,2.75509,0.00138656,0.00138656,0.00138656
5,40.7105,1.94065,2.24383,1.79235,0.31404,0.42643,0.34992,0.1427,2.58671,3.82672,2.35616,0.00137241,0.00137241,0.00137241
6,48.2349,1.90313,2.16588,1.77266,0.64178,0.22852,0.26315,0.12328,2.6704,3.55735,2.33665,0.00135826,0.00135826,0.00135826
7,55.9275,1.85904,2.08476,1.73183,0.39917,0.37579,0.30929,0.13397,2.6723,3.07097,2.08321,0.00134412,0.00134412,0.00134412
8,63.2661,1.83127,2.04023,1.72108,0.29785,0.37604,0.23589,0.1093,2.59093,3.18329,2.2314,0.00132997,0.00132997,0.00132997
9,70.7541,1.80494,1.97716,1.68623,0.49568,0.63993,0.5283,0.20493,2.55135,2.60399,1.92928,0.00131582,0.00131582,0.00131582
10,78.301,1.84193,1.98538,1.7086,0.58851,0.44709,0.38149,0.15002,2.31223,2.58807,1.90537,0.00130168,0.00130168,0.00130168
11,85.6265,1.84587,1.94642,1.71989,0.37971,0.33911,0.29932,0.12371,2.65018,2.72668,2.22111,0.00128753,0.00128753,0.00128753
12,92.9494,1.80363,1.87655,1.67763,0.38,0.51987,0.42548,0.19617,2.25606,2.74468,1.93229,0.00127338,0.00127338,0.00127338
13,100.287,1.82243,1.88593,1.70069,0.65985,0.51037,0.61716,0.26379,2.34706,2.39474,1.93198,0.00125923,0.00125923,0.00125923
14,107.685,1.79397,1.83036,1.70707,0.52998,0.51885,0.55176,0.23625,2.38298,2.29965,1.89586,0.00124509,0.00124509,0.00124509
15,115.042,1.77349,1.80826,1.69786,0.5442,0.60034,0.60141,0.22977,2.27534,2.2419,1.80489,0.00123094,0.00123094,0.00123094
16,122.448,1.76909,1.68623,1.66961,0.75791,0.54723,0.69298,0.31114,2.00731,1.83277,1.71096,0.00121679,0.00121679,0.00121679
17,130.015,1.79381,1.69986,1.64405,0.58325,0.57484,0.64656,0.24447,2.19182,1.90539,1.82443,0.00120265,0.00120265,0.00120265
18,137.492,1.73861,1.73004,1.64401,0.55025,0.59936,0.53867,0.23084,2.23347,2.03508,1.84585,0.0011885,0.0011885,0.0011885
19,144.999,1.71593,1.69083,1.62288,0.55321,0.72714,0.68533,0.31,1.87649,1.74665,1.58063,0.00117435,0.00117435,0.00117435
20,152.348,1.74679,1.70823,1.64408,0.46981,0.61229,0.54462,0.21843,1.89679,2.08195,1.70118,0.00116021,0.00116021,0.00116021
21,159.94,1.71298,1.67337,1.61604,0.51241,0.60601,0.59286,0.27618,2.20815,2.3849,1.70712,0.00114606,0.00114606,0.00114606
22,167.541,1.70299,1.65679,1.59992,0.62576,0.52964,0.62368,0.30151,2.0759,1.96642,1.674,0.00113191,0.00113191,0.00113191
23,175.168,1.64814,1.58656,1.55852,0.61894,0.72569,0.70197,0.32429,2.03294,1.85373,1.62174,0.00111776,0.00111776,0.00111776
24,182.791,1.71535,1.58381,1.60288,0.6601,0.68258,0.70003,0.31014,2.12805,1.8034,1.6701,0.00110362,0.00110362,0.00110362
25,190.299,1.72108,1.62792,1.61275,0.433,0.71182,0.52738,0.24636,1.8411,1.97201,1.55713,0.00108947,0.00108947,0.00108947
26,198.006,1.66257,1.58057,1.54987,0.60335,0.71831,0.71956,0.31718,2.04013,1.78324,1.67216,0.00107532,0.00107532,0.00107532
27,205.423,1.67265,1.55274,1.57271,0.61102,0.64815,0.62566,0.2711,2.11664,1.71039,1.60796,0.00106118,0.00106118,0.00106118
28,212.916,1.69152,1.57086,1.59908,0.50112,0.57274,0.57598,0.23207,2.31854,1.96585,1.82445,0.00104703,0.00104703,0.00104703
29,220.31,1.67657,1.49348,1.57441,0.409,0.64397,0.50722,0.21154,2.40088,2.07576,1.80614,0.00103288,0.00103288,0.00103288
30,227.929,1.6767,1.49429,1.57037,0.58141,0.67912,0.68839,0.34447,1.90879,1.64569,1.5498,0.00101873,0.00101873,0.00101873
31,235.514,1.65643,1.51241,1.56592,0.68078,0.71178,0.75855,0.39498,1.73228,1.64949,1.55269,0.00100459,0.00100459,0.00100459
32,243.155,1.638,1.51118,1.55466,0.66626,0.68099,0.71651,0.35006,1.87342,1.67712,1.61791,0.00099044,0.00099044,0.00099044
33,250.81,1.59233,1.43625,1.51205,0.67773,0.73908,0.766,0.3506,1.90784,1.65657,1.52823,0.000976293,0.000976293,0.000976293
34,258.377,1.63489,1.46193,1.5599,0.74104,0.74124,0.80646,0.38605,1.96362,1.5455,1.53794,0.000962146,0.000962146,0.000962146
35,265.977,1.64347,1.47666,1.55238,0.61305,0.75064,0.6908,0.32314,2.08979,1.81849,1.60823,0.000947999,0.000947999,0.000947999
36,273.636,1.61551,1.44701,1.53437,0.66234,0.74882,0.71782,0.33065,2.0825,1.71077,1.57659,0.000933851,0.000933851,0.000933851
37,281.319,1.5986,1.46032,1.55134,0.59362,0.61176,0.64429,0.30608,1.99527,1.95263,1.55621,0.000919704,0.000919704,0.000919704
38,289.143,1.61214,1.41882,1.55566,0.52519,0.73218,0.70392,0.32277,2.06687,1.6604,1.56897,0.000905557,0.000905557,0.000905557
39,296.726,1.58894,1.37999,1.51723,0.71323,0.69091,0.72091,0.3407,1.76049,1.75685,1.48668,0.00089141,0.00089141,0.00089141
40,304.276,1.613,1.41607,1.54716,0.67726,0.75603,0.7549,0.37259,1.82474,1.59392,1.48658,0.000877263,0.000877263,0.000877263
41,311.763,1.57074,1.35247,1.49524,0.65191,0.72609,0.7416,0.36125,2.01096,1.63536,1.54736,0.000863116,0.000863116,0.000863116
42,319.308,1.59087,1.39049,1.51053,0.63521,0.80335,0.74727,0.34845,1.88993,1.97449,1.54102,0.000848969,0.000848969,0.000848969
43,326.77,1.55604,1.39058,1.50236,0.59903,0.72983,0.69937,0.3023,2.08941,1.88051,1.69557,0.000834822,0.000834822,0.000834822
44,334.449,1.57335,1.40947,1.50245,0.59669,0.78461,0.77464,0.38165,1.77407,1.53804,1.4946,0.000820675,0.000820675,0.000820675
45,341.98,1.58679,1.3558,1.50355,0.56246,0.73468,0.65728,0.30104,2.01889,1.76619,1.68465,0.000806528,0.000806528,0.000806528
46,349.587,1.56478,1.33905,1.5048,0.63096,0.77727,0.7513,0.35336,1.88513,1.55129,1.53908,0.00079238,0.00079238,0.00079238
47,357.113,1.53344,1.34373,1.48638,0.69633,0.77101,0.78662,0.37365,1.7419,1.45634,1.51668,0.000778233,0.000778233,0.000778233
48,364.73,1.57328,1.34549,1.48745,0.69214,0.66886,0.76824,0.32949,1.79501,1.70494,1.52539,0.000764086,0.000764086,0.000764086
49,372.49,1.58389,1.3653,1.48818,0.62752,0.80424,0.76608,0.36606,1.89978,1.68431,1.57759,0.000749939,0.000749939,0.000749939
50,380.049,1.53552,1.31984,1.49151,0.63046,0.84339,0.8014,0.4032,1.75259,1.5789,1.47214,0.000735792,0.000735792,0.000735792
51,387.69,1.49985,1.306,1.45995,0.65068,0.80332,0.74763,0.3466,1.97032,1.48104,1.54649,0.000721645,0.000721645,0.000721645
52,395.456,1.4965,1.31197,1.45532,0.71766,0.7665,0.75545,0.35459,1.88305,1.62984,1.5457,0.000707498,0.000707498,0.000707498
53,403.346,1.54132,1.32061,1.49756,0.51545,0.62475,0.57964,0.27201,2.09018,1.94671,1.64654,0.000693351,0.000693351,0.000693351
54,411.499,1.51939,1.27279,1.46766,0.69083,0.81162,0.75873,0.35172,1.96917,1.56648,1.54907,0.000679204,0.000679204,0.000679204
55,419.283,1.50416,1.27847,1.45263,0.6803,0.70851,0.72666,0.33203,1.94493,1.74001,1.55883,0.000665057,0.000665057,0.000665057
56,426.892,1.49741,1.27144,1.45856,0.72067,0.75708,0.73713,0.34532,1.92648,1.80901,1.56962,0.000650909,0.000650909,0.000650909
57,434.658,1.50251,1.25434,1.44462,0.61763,0.77967,0.74647,0.32985,2.1489,1.69056,1.59044,0.000636762,0.000636762,0.000636762
58,442.466,1.47964,1.23941,1.43951,0.72393,0.70095,0.76504,0.34353,2.05832,1.66888,1.59867,0.000622615,0.000622615,0.000622615
59,450.206,1.46464,1.22879,1.42891,0.67798,0.66904,0.69582,0.30802,1.97124,1.69967,1.61971,0.000608468,0.000608468,0.000608468
60,458.424,1.50385,1.24404,1.43669,0.75279,0.72293,0.77455,0.37221,1.98395,1.5574,1.58564,0.000594321,0.000594321,0.000594321
61,466.081,1.48303,1.25733,1.4468,0.70837,0.80951,0.78244,0.35036,2.00423,1.63411,1.58644,0.000580174,0.000580174,0.000580174
62,473.639,1.46183,1.21776,1.44108,0.68327,0.77102,0.75753,0.34847,1.94713,1.65589,1.59315,0.000566027,0.000566027,0.000566027
63,481.316,1.45538,1.16664,1.41442,0.7008,0.68956,0.71588,0.33252,1.98728,1.88232,1.66076,0.00055188,0.00055188,0.00055188
